keyword,lang,cid,district,post_sj,sumry,main_img
문화관광,en,ENPlv5bpr,노원구,Gyeongchun Railway Bridge Music Fountain,"A nighttime music fountain over Jungnangcheon Stream, staged with lasers from a former Gyeongchun Line railway bridge
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82146&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,en,ENPx8qi2o,노원구,2026 Title Match 《Oh Inhwan vs. Chang Seoyoung - Human Error》,"Work by two artists who ask what only humans can create in an age of advanced technology, and who turn error and departure from the norm, born of human imperfection, into a driving force for creation
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82071&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,en,ENPreqvti,강남구,2026 AECHAE Forest,"A forest formed where different art forms meet in a single space
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81903&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,en,ENPoyf5m1,광진구,SPO Park Concert 2026,"A deep autumn night and a moment of grand feeling from the Seoul Philharmonic Orchestra.
2026 Seoul Philharmonic Orchestra Park Concert, presented with B.Grimm Power Korea",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81906&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,en,ENPh6s7u3,종로구,The Color of Memory ,"Redefining painting as an 'artistic memory device' in the age of AI and semiconductors.
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81943&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,en,ENPqkbvqx,중구,LALARECIPE × MeME : Happiness Recipe for Every Skin,"A new K-Beauty experience made where a joyful recipe meets art.
A collaboration between LALARECIPE and the artist MeME, bringing beauty and art together in one sensory exhibition",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81946&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,en,ENPzmxljt,마포구,"Painters Inspired by Nature-Kim Won, Yoo Youngkuk, Lee In-sung, Lee Jung-seop, Yim Jik-soon","A white cube of about 186 m² in Singongdeok-dong, Mapo-gu (1F, 28 Mallijae-yetgil), showing mainly the Kumsung Cultural Foundation's collection of painting, calligraphy and ceramics.
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81953&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,en,ENPex1iie,용산구,Pharme Seoul,"A lounge above the busy city, where rest and conversation unfold in complete ease
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81726&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,en,ENP2ts0gq,마포구,Hongdae Mural Street,"A street where you come across art by chance while walking through Hongdae
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81754&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPPhaq0oj,종로구,2026 ヨユジャクコンサート,秋空の下、青々とした芝生で楽しむ韓国伝統音楽の野外コンサート,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82111&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPPlv5bpr,노원구,キョンチュン(京春)鉄橋 音楽噴水,旧キョンチュン(京春)線の鉄橋でレーザーとともに繰り広げられるチュンナンチョン(中浪川)の夜間音楽噴水,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82146&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPPx8qi2o,노원구,2026 タイトルマッチ《オ・インファン vs. チャン・ソヨン：ヒューマンエラー》,最先端技術の時代に人間だけができる創作を問い、人間の不完全さから生まれる誤りや正常性からの逸脱を創造の原動力とした二人の作家の作品,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82071&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPPzmxljt,마포구,自然を愛した画家たち - キム・ウォン、ユ・ヨングク、イ・インソン、イ・ジュンソプ、イム・ジクスン,マポ(麻浦)区シンゴンドクドン(新孔徳洞)のマンリジェイェッキル28 1階にある56.3坪のホワイトキューブで、クムソン文化財団の書画・陶磁の所蔵品展示を中心に紹介する,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81953&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPPqkbvqx,중구,LALARECIPE × MeME : Happiness Recipe for Every Skin,楽しいレシピとアートが出会って完成する、新しいK-Beauty体験。ララレシピとMeME作家のコラボレーションによる、ビューティーとアートが融合した感覚的な展示,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81946&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPPh6s7u3,종로구,The Color of Memory メモリの色,AI・半導体の時代、「芸術的メモリ素子」としての絵画を再定義する。,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81943&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPPoyf5m1,광진구,2026 ソウル市立交響楽団パークコンサート,深まる秋の夜、ソウル市立交響楽団が贈る壮大な感動のひととき！B.Grimm Power Koreaとともにお届けする2026 ソウル市立交響楽団パークコンサート,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81906&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPPreqvti,강남구,2026 エチェスプ(エチェの森),それぞれ異なる芸術の形が一つの空間で出会って生まれる森,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81903&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPPii0mwl,성동구,繊維企画展《安らぎの肌ざわり Texture of Rest》,"現代人に、繊維固有の物性である「つながり」と「忍耐」を介して、散らばった自我を再び「織り上げる」時間を贈る繊維企画展

",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81688&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,ja,JPP2ts0gq,마포구,ホンデ(弘大)壁画通り,ホンデ(弘大)の街を歩きながら、ふとアートに出会えるウォールアートストリート,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81754&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNPhaq0oj,종로구,2026 悠然小聚音乐会 (Yeoyujak Concert),在秋日晴空下的绿茵草坪上享受的韩国传统音乐之旅,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82111&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNPlv5bpr,노원구,京春铁桥音乐喷泉,在旧京春线铁桥上伴随激光上演的中浪川夜间音乐喷泉,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82146&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNPx8qi2o,노원구,2026冠军对决展《吴仁焕vs.张书英：人类谬误》,两位艺术家在尖端技术时代思考唯有人类才能实现的创作，并将源自人类不完美的谬误与对常态的偏离化为创造动力的作品,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82071&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNPzmxljt,마포구,热爱自然的画家们——金原、刘永国、李仁星、李仲燮、任直淳,位于麻浦区新孔德洞（万里岾旧路28 1楼）、面积56.3坪的白盒子空间，主要介绍金星文化财团的书画、陶瓷藏品展,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81953&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNPqkbvqx,중구,LALARECIPE × MeME : Happiness Recipe for Every Skin,愉悦配方与艺术交融，打造全新韩系美妆体验。通过LALARECIPE与艺术家MeME的合作，呈现美妆与艺术交融的感官展览,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81946&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNPh6s7u3,종로구,The Color of Memory 记忆之色,AI与半导体时代，重新定义作为“艺术记忆元件”的绘画,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81943&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNPoyf5m1,광진구,2026首尔市立交响乐团公园音乐会,深秋之夜，首尔市立交响乐团带来的宏大感动瞬间！与B.Grimm Power Korea携手呈现的2026首尔市立交响乐团公园音乐会,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81906&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNPreqvti,강남구,2026 AECHAE林,各式各样的艺术形态在同一空间相聚而成的森林,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81903&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNPii0mwl,성동구,纤维企划展《安歇之结（Texture of Rest)》,"这是一场纤维企划展，借由纤维固有的物性“联结”与“隐忍”，为人们提供一段重新“编织”破碎自我的时光

",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81688&fileTy=MEDIA&fileNo=1&thumbTy=M
문화관광,zh,CNP2ts0gq,마포구,弘大壁画街,漫步弘大街头，不经意间就能与艺术不期而遇的街巷,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81754&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOP0c1dl9,성동구,신라면분식 더 팩토리,신라면 40주년을 맞아 성수동에 문을 연 라면 팝업 스토어,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82175&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOPbop9e1,종로구,북촌웰니스뮤지엄약국,"북촌 계동길에서 약과 뷰티, 건강 관리를 한자리에서 만나는 2층 규모 웰니스 약국",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82169&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOPziwp2z,용산구,메디킹덤 약국,"용산 전자상가의 새로운 중심, 국내 최대 800평 규모를 자랑하는 대형 약국",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81748&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOPnew3no,강동구,다이소 이스턴스퀘어 강동천호점,복합 쇼핑몰 강동 이스턴스퀘어에 위치한 서울 최대 규모 수준의 다이소 매장,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81737&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOP3o3i2c,성동구,젠틀몬스터 하우스 노웨어 서울,젠틀몬스트가 만든 미래형 리테일 공간,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81731&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOPw8jvg2,서초구,모던하우스 뉴컨셉스토어 뉴코아강남점,다양한 주거공간과 글로벌 리빙 제품을 직접 경험할 수 있는 체험형 라이프스타일 매장,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81848&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOP8ymdnz,강남구,서울마이소울 강남점,서울의 감성과 문화를 담은 다양한 공식 굿즈를 만나볼 수 있는 기념품 매장,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81809&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOP19pl3n,성동구,무신사 킥스 성수,다양한 브랜드의 신발을 직접 신어 보고 스마트하게 비교·구매할 수 있는 성수동 슈즈 전문 편집숍,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81365&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOPmwrtiq,성동구,뉴뉴하우스 성수역점,패션·리빙·선물용 소품을 합리적인 가격에 만날 수 있는 키치한 감성의 라이프스타일 숍,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81359&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ko,KOPkptqaw,용산구,치이카와샵 아이파크몰 용산점,인기 치이카와 캐릭터의 공식 굿즈를 만나고 즐길 수 있는 캐릭터 전문 매장,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81353&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENPbop9e1,종로구,Bukchon Wellness Museum Pharmacy,"A two-floor wellness pharmacy on Gyedong-gil in Bukchon, bringing medicine, beauty and health care together
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82169&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENP0c1dl9,성동구,Shin Ramyun Bunsik The Factory,"A ramyun pop-up store in Seongsu-dong marking the 40th anniversary of Shin Ramyun
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82175&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENP3o3i2c,성동구,GENTLE MONSTER HAUS NOWHERE SEOUL,"A future-facing retail space created by GENTLE MONSTER
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81731&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENPnew3no,강동구,DAISO Eastern Square Gangdong Cheonho,"A Daiso store boasting one of the largest scales in Seoul, located in the Eastern Square Gangdong shopping mall.
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81737&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENPziwp2z,용산구,MEDIKINGDOM Pharmacy,"A new center of the Yongsan electronics market and Korea's largest pharmacy, at about 2,600㎡ (800 pyeong)
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81748&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENPw8jvg2,서초구,Modern House New Concept Store New Core Gangnam Branch,"An interactive lifestyle store where you can directly experience various residential spaces and global living products.
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81848&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENP8ymdnz,강남구,Seoul My Soul Shop Gangnam Branch,"A souvenir shop where you can encounter various official goods embodying the sensibility and culture of Seoul.
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81809&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENP19pl3n,성동구,Musinsa Kicks Seongsu,A shoe-specialized select shop in Seongsu-dong where you can directly try on various brands of shoes and smartly compare and purchase them,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81365&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENPmwrtiq,성동구,NYUNYU HOUSE Seongsu Station Branch,"A lifestyle shop with a kitschy sensibility where you can find fashion, living, and gift accessories at reasonable prices.",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81359&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,en,ENPkptqaw,용산구,Chiikawa Shop I'Park Mall Yongsan Branch,A specialized character store where you can encounter and enjoy official goods of the popular character Chiikawa,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81353&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPP0c1dl9,성동구,辛ラーメン粉食 ザ・ファクトリー,辛ラーメン40周年を記念してソンスドン(聖水洞)にオープンしたラーメンのポップアップストア,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82175&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPPbop9e1,종로구,プクチョン(北村)ウェルネスミュージアム薬局,プクチョン(北村)のケドンギルで、薬とビューティー、健康管理を一か所でそろえられる2階建てのウェルネス薬局,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82169&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPPziwp2z,용산구,メディキングダム薬局,ヨンサン(龍山)電子商店街の新たな中心、韓国最大級の800坪の規模を誇る大型薬局,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81748&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPPnew3no,강동구,ダイソー イースタンスクエア カンドンチョンホ(江東千戸)店,複合ショッピングモール カンドン(江東)イースタンスクエア内に位置するソウル最大級規模のダイソー店舗,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81737&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPP3o3i2c,성동구,ジェントルモンスター ハウス ノーウェア ソウル(HAUS NOWHERE SEOUL),ジェントルモンスターが提案する未来型リテール空間,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81731&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPPw8jvg2,서초구,モダンハウス ニューコンセプトストア ニューコア　カンナム(江南)店,多様な住空間とグローバルリビング商品を直接体験できる体験型ライフスタイルショップ,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81848&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPP8ymdnz,강남구,SEOUL MY SOUL カンナム駅店,ソウルの感性と文化が詰まった多彩な公式グッズを取り揃えたお土産ショップ,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81809&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPP19pl3n,성동구,MUSINSA KICKS ソンス(聖水),多様なブランドのシューズを実際に試着し、スマートに比較・購入できるソンスドン(聖水洞)のシューズ専門セレクトショップ,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81365&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPPmwrtiq,성동구,ニュニュハウス ソンス駅店,ファッション・リビング・ギフト雑貨をリーズナブルな価格で買える、キッチュなセンスあふれるライフスタイルショップ,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81359&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,ja,JPPkptqaw,용산구,ちいかわショップ アイパークモール ヨンサン(龍山)店,大人気キャラクター「ちいかわ」の公式グッズに出会えるキャラクター専門ショップ,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81353&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNP0c1dl9,성동구,辛拉面面食 The Factory,为纪念辛拉面40周年而在圣水洞开设的方便面快闪店,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82175&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNPbop9e1,종로구,北村健康博物馆药店,在北村桂洞街将药品、美妆与健康管理集于一处的两层健康药店,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=82169&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNPziwp2z,용산구,MEDIKING药店,龙山电子商业街新地标，韩国国内规模最大、面积达800坪的大型药店,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81748&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNPnew3no,강동구,大创EASTERN SQUARE江东千户店,大创卖场坐落于江东EASTERN SQUARE，是首尔规模最大的门店,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81737&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNP3o3i2c,성동구,GENTLE MONSTER HAUS NOWHERE SEOUL,GENTLE MONSTER打造的未来感零售空间,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81731&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNPw8jvg2,서초구,MODERN HOUSE新概念门店NEW CORE江南店,可以亲身体验多样居住空间和全球家居产品的生活方式家居卖场,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81848&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNP8ymdnz,강남구,Seoul My Soul江南店,可以选购承载首尔情怀和文化的各类官方周边的纪念品商店,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81809&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNP19pl3n,성동구,MUSINSA KICKS圣水店,这是圣水洞鞋类专业集合店，店内汇集多个品牌鞋款，可上脚试穿，轻松对比挑选、理智选购,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81365&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNPmwrtiq,성동구,NYUNYU HOUSE圣水站店,一家充满俏皮治愈氛围的生活方式集合店，平价高性价比选购服饰、家居好物、礼品小配饰,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81359&fileTy=MEDIA&fileNo=1&thumbTy=M
쇼핑,zh,CNPkptqaw,용산구,吉伊卡哇卖场I Park购物中心龙山店,可选购、体验人气卡通IP吉伊卡哇官方周边的卡通形象专门店,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=81353&fileTy=MEDIA&fileNo=1&thumbTy=M
숙박,ko,KOPvmf745,중구,리재 서울,한양도성이 집 앞에 펼쳐진 곳에 위치한 단독 주택 숙소,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=79688&fileTy=MEDIA&fileNo=1&thumbTy=M
숙박,ko,KOP54ay57,노원구,수락휴 트리하우스,전국 최초 도심형 자연휴양림,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=74819&fileTy=MEDIA&fileNo=1&thumbTy=M
숙박,ko,KOPrb2d9e,종로구,스테이 다반사,"아담한 정원과 하늘을 보며 노천을 즐기고, 직접 우린 차를 마시며 독서하기 좋은곳",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=68575&fileTy=MEDIA&fileNo=1&thumbTy=M
숙박,ko,KOPx17ry7,성동구,호텔 포코 성수,"호텔 포코 성수는  빠르고 복잡한 도심 속에서 도심 속 아지트를 지향하는 라이프스타일 호텔입니다. 성수역 3번출구에서 도보 2분 거리에 위치하며, 서울숲과의 접근성이 뛰어나 ‘도심 속 숲캉스’를 만끽할 수 있습니다. ",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=61085&fileTy=MEDIA&fileNo=1&thumbTy=M
숙박,ko,KOP9dsjmt,강남구,안다즈 서울강남,강남의 중심에서 모던한 감각으로 지역의 문화와 감성을 선보이는 럭셔리 라이프스타일 호텔,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=59991&fileTy=MEDIA&fileNo=1&thumbTy=M
숙박,ko,KOP042851,종로구,노스텔지어 블루재,북촌 한옥마을에 자리잡은 고귀한 푸른 한옥,https://api.visitseoul.net/comm/getImage?srvcId=POST&parentSn=42851&fileTy=POSTTHUMB&fileNo=1&thumbTy=M&postTy=P
숙박,ko,KOP042850,종로구,누와,"서촌의 주택가 좁은 골목 깊은 곳의 작은 한옥, 누와",https://api.visitseoul.net/comm/getImage?srvcId=POST&parentSn=42850&fileTy=POSTTHUMB&fileNo=1&thumbTy=M&postTy=P
숙박,ko,KOP042849,은평구,응정헌,자연을 즐기는 한옥호텔,https://api.visitseoul.net/comm/getImage?srvcId=POST&parentSn=42849&fileTy=POSTTHUMB&fileNo=1&thumbTy=M&postTy=P
숙박,ko,KOP024551,강남구,호텔 카푸치노,강남에 있는 애견동반 가능 호텔,https://api.visitseoul.net/comm/getImage?srvcId=POST&parentSn=24551&fileTy=POSTTHUMB&fileNo=1&thumbTy=M&postTy=P
숙박,ko,KOP024498,중구,영빈관(신라호텔),"신라호텔 마당에 위치해 있는, 만찬과 결혼식, 이벤트용으로 쓰이는 독특한 공간",https://api.visitseoul.net/comm/getImage?srvcId=POST&parentSn=24498&fileTy=POSTTHUMB&fileNo=1&thumbTy=M&postTy=P
숙박,en,ENPvmf745,중구,Leejae Seoul,"A detached house accommodation located where the Seoul City Wall unfolds right in front of the house.
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=79688&fileTy=MEDIA&fileNo=1&thumbTy=M
숙박,en,ENP54ay57,노원구,Surak Hyu Treehouse,"The nation's first urban-style forest retreat
",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=74819&fileTy=MEDIA&fileNo=1&thumbTy=M
숙박,en,ENPrb2d9e,종로구,Stay Davansa,"A perfect spot to enjoy an open-air bath while gazing at the sky and a cozy garden, sipping freshly brewed tea, and reading in peace",https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=68575&fileTy=MEDIA&fileNo=1&thumbTy=M
